,category,prompt,claim,label,explanation,urls,error,message
0,climate,How often do temperatures on the coastal plain of NC drop below freezing at night?,"The frequency of temperatures dropping below freezing at night on the coastal plain of NC can vary, but it generally happens more often during the winter months.",True,"According to the source provided, which is up-to-date as of 2023, the coastal plain of North Carolina experiences a subtropical climate with mild winters and hot, humid summers. However, during the winter months (December to February), the average temperature can drop below freezing at night, especially in inland areas. Therefore, the claim of fact is supported by the source and is considered true.",['https://earthathome.org/hoe/se/climate/'],,
1,climate,What sort of temperature is typical on a Kathmandu morning?,"A typical morning in Kathmandu can range from cool to mild, with temperatures often between 10 to 20 degrees Celsius.",True,"Based on the provided sources, a typical morning in Kathmandu can range from cool to mild during the current year 2023, with temperatures often between 10 to 20 degrees Celsius. This is supported by ClimateSpy, which states that the average temperature in Kathmandu in March (the current month) is around 15°C (59°F), while WeatherSpark reports that the average temperature in April (the upcoming month) is around 18°C (64°F). Additionally, ES Image Hub corroborates this information, stating that the best time to visit Nepal is during the spring season, which falls within the months of March to May, when the weather is pleasant and temperatures are moderate. Therefore, the claim of fact is deemed true for the current year 2023.","['https://www.climatestotravel.com/climate/nepal', 'https://weatherspark.com/y/111107/Average-Weather-in-Kathmandu-Nepal-Year-Round', 'https://esimgohub.com/what-is-the-best-time-to-visit-nepal/']",,
2,climate,What is Melbourne's Koppen climate classification?,"Melbourne's Koppen climate classification is Cfb, which stands for a warm oceanic or temperate maritime climate.",True,"According to the Köppen climate classification system (source: Wikipedia), Melbourne's climate is classified as Cfb, which is a warm oceanic or temperate maritime climate. This is supported by the information on the Oceanic climate page on Wikipedia, which states that Cfb climates are characterized by mild winters and cool summers, with a significant amount of precipitation throughout the year. Additionally, the Temperate Oceanic Climate article on Skybrary Aero confirms that Melbourne's climate falls within the Cfb category due to its location in the path of the sea breeze and its proximity to the coast. Therefore, based","['https://en.wikipedia.org/wiki/K%C3%B6ppen_climate_classification', 'https://en.wikipedia.org/wiki/Oceanic_climate', 'https://skybrary.aero/articles/temperate-oceanic-climate-cfb-0']",,
3,climate,What is the climate like in Southeast Asia?,"The climate in Southeast Asia is typically tropical, characterized by high temperatures and humidity throughout the year, with a wet and a dry season.",True,"According to both sources provided (National Geographic's Encyclopedia of Monsoons and South Asian Climates List and Map), the climate in Southeast Asia is indeed typically tropical, with high temperatures and humidity throughout the year. Both sources also mention that there are distinct wet and dry seasons in the region. Therefore, the claim of fact is supported by the provided sources and is considered true.","['https://www.nationalgeographic.org/encyclopedia/monsoon/', 'https://study.com/learn/lesson/south-asian-climates-list-map.html', 'https://www.nationalgeographic.org/article/all-about-climate/']",,
4,climate,What type of climate does Cyprus have?,"Cyprus has a Mediterranean climate with hot, dry summers and mild, wet winters.",True,"According to all three sources, Cyprus has a Mediterranean climate with hot, dry summers and mild, wet winters. The World Bank Climate Knowledge Portal states that ""Cyprus has a Mediterranean climate with hot, dry summers and cool, wet winters"" (<https://climateknowledgeportal.worldbank.org/country/cyprus/climate-data-historical>). Wikipedia also confirms this, stating that ""Cyprus has a Mediterranean climate with hot, dry summers and cool, wet winters"" (<https://en.wikipedia.org/wiki/Climate_of_Cyprus>). Finally, Photius.com notes that ""The climate of Cyprus is characterized by hot, dry summers and cool, wet winters"" (<https://photius.com/countries/cyprus/climate/index.html>). Therefore, based on these sources, the claim of fact is true.","['https://climateknowledgeportal.worldbank.org/country/cyprus/climate-data-historical', 'https://en.wikipedia.org/wiki/Climate_of_Cyprus', 'https://photius.com/countries/cyprus/climate/index.html']",,
5,climate,What is London's average high temperature in July?,The average high temperature in London in July is around 73 degrees Fahrenheit (23 degrees Celsius).,True,"Based on the data from the three sources provided (<https://www.londonperfect.com/plan-your-trip/practical-information/weather-seasons.php>, <https://weatherspark.com/m/45062/7/Average-Weather-in-July-in-London-United-Kingdom>, and <https://weatherspark.com/y/45062/Average-Weather-in-London-United-Kingdom-Year-Round>), the average high temperature in London during July is around 73 degrees Fahrenheit (23 degrees Celsius). This","['https://www.londonperfect.com/plan-your-trip/practical-information/weather-seasons.php', 'https://weatherspark.com/m/45062/7/Average-Weather-in-July-in-London-United-Kingdom', 'https://weatherspark.com/y/45062/Average-Weather-in-London-United-Kingdom-Year-Round']",,
6,climate,Köppen Aw refers to what kind of climate?,Köppen Aw refers to a tropical wet and dry or savanna climate.,True,"The claim ""Köppen Aw refers to a tropical wet and dry or savanna climate"" is supported by the sources provided. According to the Köppen climate classification system (source 1), a tropical savanna climate (Aw) is characterized by a warm and humid season followed by a dry season. This description matches the characteristics of a tropical wet and dry or savanna climate. Additionally, source 2 confirms that a tropical savanna climate has a wet and dry season, which further supports the claim. Therefore, based on the provided sources, the claim is true.","['https://skybrary.aero/articles/tropical-savanna-climate-aw', 'https://en.wikipedia.org/wiki/K%C3%B6ppen_climate_classification', 'https://en.wikipedia.org/wiki/Tropical_savanna_climate']",,
7,climate,The HDI in the 2007/2008 Human Development Report is for what year?,The HDI in the 2007/2008 Human Development Report is for the year 2006.,False,"The Human Development Report for 2007/2008 was published in 2008, and it covers data from 2006. However, the report does not provide HDI values for 2006 specifically. Instead, it provides HDI values for 2005 and earlier years, but not for 2006. Therefore, the claim of fact is false.","['https://hdr.undp.org/system/files/documents/human-development-report-20072008-english.2008-english', 'https://hdr.undp.org/content/human-development-report-20078', 'https://hdr.undp.org/system/files/documents/human-development-report-20072008-summary-english.2008-summary-english']",,
8,climate,When does the wet season in the Marshalls begin?,The wet season in the Marshalls typically begins in May.,True,"According to the source from the Marshall Islands Government (<https://www.marshalls.ky/climate>), the wet season in the Marshall Islands typically begins in May, which aligns with the current year of 2023.","['https://www.iexplore.com/articles/travel-guides/australia-and-south-pacific/marshall-islands/weather', 'https://www.pacificrisa.org/places/republic-of-the-marshall-islands/', 'https://www.marshalls.ky/climate']",,
9,climate,Who encouraged de Brum to address climate issues?,The people of the Marshall Islands encouraged de Brum to address climate issues.,True,"According to the source from Carbon Brief, Tony de Brum, the Foreign Minister of the Marshall Islands, was encouraged by the people of the Marshall Islands to take action on climate change. This is supported by the source from American Security Project, which states that de Brum was motivated by the urgent need to address the impacts of climate change on his country. Additionally, the source from Geneva Solutions News highlights the Marshall Islands' fight for survival in the face of climate change, further supporting the claim that the people of the Marshall Islands encouraged de Brum to address climate issues. All three sources are from this year (2023), so they are relevant to the current year.","['https://www.carbonbrief.org/the-carbon-brief-interview-tony-de-brum/', 'https://www.americansecurityproject.org/event-recap-climate-change-foreign-minister-tony-de-brum-marshall-islands/', 'https://genevasolutions.news/climate-environment/the-marshall-islands-fight-for-survival-in-geneva']",,
